count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
4880,NGC5765b,222.714,5.11414,8333,2014-04-06,38.0,135,1.3,6915,9763,?,?,?
4881,NGC5765b,222.715,5.11442,8333,2012-04-08,40.0,134,1.3,6915,9763,?,?,?
4882,NGC5765b,222.715,5.11442,8333,2013-03-04,40.7,52,2.0,6915,9763,?,?,?
4883,NGC5765b,222.715,5.11444,8333,2012-02-26,53.0,97,1.9,6915,9763,?,?,?
4884,NGC5765b,222.715,5.11444,8333,2012-12-13,35.7,140,1.1,6915,9763,?,?,?
4885,NGC5765b,222.715,5.11444,8333,2014-03-08,53.5,118,1.7,6915,9763,?,?,?
4886,NGC5765b,222.715,5.11444,8333,2014-12-14,55.2,19,4.3,6915,9763,?,?,?
4887,NGC5765b,222.715,5.11447,8333,2013-04-06,46.1,115,1.4,6915,9763,?,?,?
4888,NGC5765b,222.715,5.11456,8333,2013-01-08,38.5,132,1.2,6915,9763,?,?,?
4889,NGC5765b,222.715,5.11442,8333,2013-12-24,45.0,124,1.5,6915,9763,?,?,?
4890,NGC5765b,222.715,5.11442,8333,2014-02-19,63.5,99,2.3,6915,9763,?,?,?
4891,NGC5765b,222.715,5.11444,8333,2012-05-11,48.3,138,1.5,6915,9764,?,?,?
4892,NGC5765b,222.715,5.11444,8333,2012-10-20,48.9,146,1.4,6915,9764,?,?,?
4893,NGC5765b,222.715,5.11444,8333,2012-11-13,36.2,110,1.2,6915,9763,?,?,?
4894,NGC5765b,222.715,5.11444,8333,2013-03-04,37.9,65,1.8,6915,9763,?,?,?
4895,NGC5765b,222.715,5.11444,8333,2013-05-03,42.4,143,1.2,6915,9763,?,?,?
4896,NGC5765b,222.715,5.11444,8333,2013-05-25,41.1,95,1.4,6915,9764,?,?,?
4897,NGC5765b,222.715,5.11444,8333,2014-11-04,75.0,10,7.9,6915,9763,?,?,?
4898,NGC5765b,222.715,5.11444,8333,2014-12-19,50.4,2,10.9,11209,19245,?,?,?
4899,NGC5765b,222.715,5.11442,8333,2013-02-25,35.4,55,1.8,6915,9763,?,?,?
4900,NGC5765b,222.715,5.11444,8333,2013-11-23,46.4,94,1.7,6915,9763,?,?,?
4901,NGC5765b-off1,222.715,5.11442,0,2014-12-19,54.5,4,7.6,2722,10320,?,?,?
4902,NGC5765b,222.715,5.11447,8333,2014-05-09,60.9,133,1.7,6915,9764,?,?,?
4903,PG1448+273,222.787,27.1575,19487,2011-02-09,31.9,20,2.3,17965,21023,?,?,?
4904,UGC9562,222.81,35.5422,1292,2010-02-01,33.2,10,3.1,-61,2658,3.2,2384,5148
4905,145117+585841,222.825,58.9783,2098,2006-04-09,36.4,10,3.2,737,3471,3.5,3196,5975
4906,145127+373011,222.864,37.5033,9507,2006-11-22,41.5,10,3.6,9220,12111,4.0,6945,9794
4907,J145129+092005,222.872,9.33494,8798,2014-01-03,41.2,10,4.2,7376,10232,?,?,?
4908,NGC-5772,222.912,40.5992,4916,2008-03-10,67.5,10,6.4,3530,6315,6.3,6034,8866
